Document Type	Number	Document Code	Document Name	Risk
Code of Practice	CO-PRD1-COP-003	COP	Oak House Production Facility Code of Practice	HIGH
Code of Practice	CO-QC-COP-001	COP	Quality Control Laboratory Code of Practice	HIGH
Code of Practice	CO-QC-COP-002	COP	#N/A	#N/A
Policy	CO-CA-POL-009	POL	Policy for Verification and Validation	LOW
Policy	CO-CS-POL-012	POL	Policy for Customer Feedback and Device Vigilance	LOW
Policy	CO-HR-POL-007	POL	Training Policy	LOW
Policy	CO-IT-POL-022	POL	Access Control Policy	LOW
Policy	CO-IT-POL-023	POL	Asset Management Policy	LOW
Policy	CO-IT-POL-024	POL	Business Continuity and Disaster Recovery	LOW
Policy	CO-IT-POL-025	POL	Code of Conduct	LOW
Policy	CO-IT-POL-026	POL	Cryptography Policy	LOW
Policy	CO-IT-POL-027	POL	Human Resource Security Policy	LOW
Policy	CO-IT-POL-028	POL	Information Security Policy	LOW
Policy	CO-IT-POL-029	POL	Information Security Roles and Responsibilities	LOW
Policy	CO-IT-POL-030	POL	Physical Security Policy	LOW
Policy	CO-IT-POL-031	POL	Responsible Disclosure Policy	LOW
Policy	CO-IT-POL-032	POL	Risk Management 	LOW
Policy	CO-IT-POL-033	POL	Third Party Management	LOW
Policy	CO-OPS-POL-008	POL	Policy for Purchasing and Management of Suppliers	LOW
Policy	CO-OPS-POL-011	POL	WEEE Policy	LOW
Policy	CO-PRD1-POL-016	POL	Reagent Production Policy	LOW
Policy	CO-QA-POL-006	POL	Policy for Document Control and Change Management	LOW
Policy	CO-QA-POL-010	POL	Policy for Control of Infrastructure Environment and Equipment	LOW
Policy	CO-QA-POL-013	POL	Policy for Complaints and Vigilance	LOW
Policy	CO-QA-POL-014	POL	Poilcy for Control of Non Conformance 	LOW
Policy	CO-QA-POL-015	POL	Policy for the use of Electronic Signatures within binx health	LOW
Policy	CO-QA-POL-019	POL	Quality Policy	LOW
Policy	CO-QA-POL-020	POL	Risk Management Policy	LOW
Policy	CO-QA-POL-021	POL	Quality Manual	LOW
Policy	CO-QC-POL-018	POL	Quality Control Policy	LOW
Policy	CO-SUP-POL-017	POL	"Policy for Customer Interface, Order Handling, Product Storage & Distribution"	LOW
Policy	CO-SUP-POL-034	POL	Supply Team Policy for Oak House Production Suite Operations	LOW
Protocol	CO-DES-PTL-001	PTL	#N/A	#N/A
Protocol	CO-DES-PTL-002	PTL	#N/A	#N/A
Protocol	CO-DES-PTL-003	PTL	#N/A	#N/A
Protocol	CO-DES-PTL-004	PTL	#N/A	#N/A
Protocol	CO-DES-PTL-005	PTL	#N/A	#N/A
Protocol	CO-DES-PTL-006	PTL	#N/A	#N/A
Protocol	CO-DES-PTL-007	PTL	#N/A	#N/A
Protocol	CO-DES-PTL-008	PTL	#N/A	#N/A
Protocol	CO-LAB-PTL-045	PTL	#N/A	#N/A
Protocol	CO-LAB-PTL-046	PTL	#N/A	#N/A
Protocol	CO-LAB-PTL-047	PTL	#N/A	#N/A
Protocol	CO-LAB-PTL-186	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-009	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-010	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-011	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-013	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-014	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-015	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-017	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-018	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-019	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-020	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-021	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-022	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-023	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-024	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-025	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-026	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-027	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-028	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-029	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-030	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-031	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-036	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-037	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-038	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-039	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-040	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-043	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-048	PTL	IO Release Procedure for Refurbished and Reworked Readers	HIGH
Protocol	CO-OPS-PTL-049	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-050	PTL	#N/A	#N/A
Protocol	CO-OPS-PTL-051	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-075	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-078	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-086	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-087	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-088	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-089	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-090	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-091	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-092	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-093	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-094	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-095	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-096	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-097	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-098	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-099	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-100	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-101	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-102	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-103	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-104	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-105	PTL	#N/A	#N/A
Protocol	CO-PRD1-PTL-106	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-016	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-060	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-061	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-062	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-064	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-065	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-066	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-067	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-068	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-069	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-070	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-071	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-072	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-073	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-074	PTL	#N/A	#N/A
Protocol	CO-QC-PTL-077	PTL	#N/A	#N/A
Quality Control Protocol	CO-QC-QCP-055	QCP	CT Plasmid Quantification - qPCR Test (Part No. 0348)	LOW
Quality Control Protocol	CO-QC-QCP-059	QCP	ct/ng Collection Kit Batch Release	HIGH
Quality Control Protocol	CO-QC-QCP-060	QCP	CT/NG Relabelled cartridge release procedure	HIGH
